CIUDAD;YEAR;MES;CANTIDAD
Badajoz;2018;ENERO;509
Badajoz;2018;FEBRERO;29
Badajoz;2018;MARZO;37
Badajoz;2018;ABRIL;24
Badajoz;2018;MAYO;61
Caceres;2018;ENERO;249
Caceres;2018;FEBRERO;16
Caceres;2018;MARZO;32
Caceres;2018;ABRIL;19
Caceres;2018;MAYO;32
A Coruña;2018;ENERO;1129
A Coruña;2018;FEBRERO;45
A Coruña;2018;MARZO;75
A Coruña;2018;ABRIL;71
A Coruña;2018;MAYO;70
Lugo;2018;ENERO;249
Lugo;2018;FEBRERO;10
Lugo;2018;MARZO;17
Lugo;2018;ABRIL;16
Lugo;2018;MAYO;20
Ourense;2018;ENERO;371
Ourense;2018;FEBRERO;29
Ourense;2018;MARZO;26
Ourense;2018;ABRIL;16
Ourense;2018;MAYO;17
Pontevedra;2018;ENERO;619
Pontevedra;2018;FEBRERO;55
Pontevedra;2018;MARZO;74
Pontevedra;2018;ABRIL;63
Pontevedra;2018;MAYO;78
Alava;2018;ENERO;11
Alava;2018;FEBRERO;1
Alava;2018;MARZO;3
Alava;2018;ABRIL;4
Alava;2018;MAYO;1
Guipuzcoa;2018;ENERO;9
Guipuzcoa;2018;FEBRERO;3
Guipuzcoa;2018;MARZO;-3
Guipuzcoa;2018;ABRIL;2
Guipuzcoa;2018;MAYO;2
Vizcaya;2018;ENERO;10
Vizcaya;2018;FEBRERO;4
Vizcaya;2018;MARZO;3
Vizcaya;2018;ABRIL;2
Vizcaya;2018;MAYO;5
Almeria;2019;ENERO;104
Almeria;2019;FEBRERO;106
Almeria;2019;MARZO;108
Almeria;2019;ABRIL;110
Almeria;2019;MAYO;113
Cadiz;2019;ENERO;133
Cadiz;2019;FEBRERO;136
Cadiz;2019;MARZO;138
Cadiz;2019;ABRIL;141
Cadiz;2019;MAYO;144
Cordoba;2019;ENERO;72
Cordoba;2019;FEBRERO;73
Cordoba;2019;MARZO;75
Cordoba;2019;ABRIL;76
Cordoba;2019;MAYO;78
Granada;2019;ENERO;92
Granada;2019;FEBRERO;94
Granada;2019;MARZO;96
Granada;2019;ABRIL;98
Granada;2019;MAYO;100
Huelva;2019;ENERO;86
Huelva;2019;FEBRERO;88
Huelva;2019;MARZO;89
Huelva;2019;ABRIL;91
Huelva;2019;MAYO;93
Jaen;2019;ENERO;36
Jaen;2019;FEBRERO;37
Jaen;2019;MARZO;37
Jaen;2019;ABRIL;38
Jaen;2019;MAYO;39
Malaga;2019;ENERO;213
Malaga;2019;FEBRERO;217
Malaga;2019;MARZO;222
Malaga;2019;ABRIL;226
Malaga;2019;MAYO;231
